SKU,ID,DETAIL
43326051,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:01.479915""}"
43244027,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:02.206138""}"
43142774,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:03.003864""}"
43151080,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:03.821854""}"
43435760,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:04.479943""}"
43441631,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:05.184674""}"
43439577,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:05.886002""}"
43454730,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:06.591714""}"
43382644,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:07.334896""}"
43417285,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:07.998131""}"
43415311,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:08.675056""}"
43270064,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:09.469532""}"
43436002,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:10.268067""}"
43395385,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:11.045258""}"
ABC123,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:11.736913""}"
GHI789,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:12.493941""}"
JKL012,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:13.547831""}"
DEF456,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:14.208383""}"
watering-equipment,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:14.900269""}"
party-serveware-and-accessories,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:15.612334""}"
baby-tops,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:16.276106""}"
women-glasses,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:16.958406""}"
diversityandinclusion,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:17.638572""}"
wall-art,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:18.475630""}"
photo-albums-and-scrapbooks,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:19.162349""}"
mens-straight-fit-jeans,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:19.951704""}"
how-to-host-paint-n-sip-night,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:20.733670""}"
dance-and-play-bluey-plush-toy-43452392,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:21.412901""}"
girls-swimwear-ages-8-16,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:22.238817""}"
spot-cleaner-43262465,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:22.996648""}"
fitness-tech,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:23.696629""}"
feminine-hygiene,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:24.447695""}"
mail-and-packaging-supplies,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:25.099306""}"
view-all-mens-sleepwear,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:25.905284""}"
everlast-mens-classic-sport-hoodie-s158228,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:26.644385""}"
mens-slides,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:27.321954""}"
face-and-foundation-brushes,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:27.989424""}"
bamboo-shoe-cabinet-43019526,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:28.804484""}"
pillow-cases,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:29.605481""}"
ollie-quilt-cover-set-queen-bed-73289890,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:30.394631""}"
christmas-lights,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:31.053339""}"
tablet-cases-and-covers,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:31.712518""}"
girls-8-16-jumpers-and-knitwear,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:32.423498""}"
bedroom-decor,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:33.121734""}"
213m-7ft-pine-prelit-christmas-tree-43441938,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:33.764109""}"
travel,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:34.562361""}"
hospital-bag-essentials,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:35.239705""}"
gifts-for-babies,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:35.908291""}"
mens-cardigans,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:36.692964""}"
diy-paint-and-stitch-keyrings-craft-kit-43470556,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:37.489601""}"
hottest-toys-christmas-wishlist,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:34:38.298398""}"
