SKU,ID,DETAIL
43334735,3,"{""original_sku"": ""43334735"", ""broken_url"": ""https://www.kmart.co.nz/product/8-piece-drawer-organisers-white-43334735/"", ""search_result"": {""hits"": [{""id"": ""g456bc92-713a-4bb0-a678-30b1ac1651c6"", ""name"": ""8 Piece Drawer Organisers White"", ""type"": ""Storage""}]}, ""product_attributes"": {""data"": {""product"": {""id"": ""g456bc92-713a-4bb0-a678-30b1ac1651c6"", ""masterData"": {""staged"": {""nameAllLocales"": [{""locale"": ""en-NZ"", ""value"": ""8 Piece Drawer Organisers White""}], ""descriptionAllLocales"": [{""locale"": ""en-NZ"", ""value"": ""Keep your drawers tidy with this 8-piece white drawer organiser set.""}]}}}}}, ""processed_at"": ""2025-09-02T13:30:40.300978"", ""region"": ""NZ""}"
42056539,304,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/wire-under-shelf-basket-42056539/""}"
43288625,305,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/diy-macrame-key-ring-kit-43288625""}"
42119005,306,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/pro-poker-set-42119005""}"
42820994,307,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/wooden-stack-and-count-learning-set-42820994/""}"
43351121,308,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/disney-villains:-adult-colouring-book-43351121""}"
43444151,309,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/dr-seuss-the-grinch-feature-plush-43444151/""}"
42919094,310,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/the-ballad-of-songbirds-and-snakes-by-suzanne-collins-book-42919094""}"
43449583,311,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/60-piece-magnetic-construction-set-43449583/""}"
43439201,312,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/bluey-s11-sound-effects-plush-sleepytime-bluey-toy-43439201/""}"
43406210,313,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/crystal-flyers-43406210/""}"
43286690,314,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/paint-by-numbers-canvas-board-kit-43286690""}"
43492930,315,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/monopoly-junior-2-games-in-1-43492930/""}"
43273317,316,"{""region"": ""NZ"", ""source"": ""broken_link"", ""url"": ""https://www.kmart.co.nz/product/linen-look-organiser-narrow-43273317/""}"
